educ,gender,jobcat,logsal,logssal,race,resid
15,1,3,10.95080655,10.20359215,0,0.000234711
16,1,1,10.60162227,9.838949031,0,0.059415503
12,0,1,9.973479924,9.392661929,0,-0.083030382
8,0,1,9.994241916,9.487972109,0,-0.128078884
15,1,1,10.71441777,9.952277717,0,0.061081923
15,1,1,10.37661131,9.510444964,0,0.190656735
15,1,1,10.49127422,9.838949031,0,-0.042179829
12,0,1,9.994241916,9.185022564,0,0.157377504
15,0,1,10.23638197,9.453286551,0,0.089483309
12,0,1,10.08580911,9.510444964,0,-0.095294915
16,0,1,10.31890299,9.71111566,0,-0.109486201
8,1,1,10.25238231,9.392661929,1,0.260817839
15,1,1,10.23099112,9.564512186,1,-0.003629744
15,0,1,10.46595641,9.729134165,1,0.035786849
12,1,1,10.21464198,9.510444964,0,0.054945581
12,1,1,10.61643736,9.61580548,0,0.345288083
15,1,1,10.73639668,9.564512186,0,0.493248499
16,1,3,11.54973944,10.22230485,0,0.570620126
12,1,1,10.65254237,9.564512186,0,0.435652363
12,0,1,10.17542127,9.354440716,0,0.159342276
16,0,1,10.56746336,9.61580548,0,0.239895555
12,1,1,9.987369037,9.453286551,1,-0.10333651
15,0,1,10.08580911,9.314700387,1,0.094037528
12,0,1,9.738023113,9.104979856,1,-0.005642892
15,0,1,9.959395184,9.104979856,1,0.189471006
15,1,1,10.34335409,9.441452093,0,0.230381826
19,1,3,11.00833039,10.22121375,0,0.004107105
15,1,1,10.39053265,9.564512186,0,0.147384471
19,1,3,11.81303006,11.28953188,0,-0.321285749
15,1,1,10.34817337,9.564512186,0,0.105025198
12,1,1,10.49543223,9.564512186,0,0.278542226
19,1,3,11.61390138,10.71441777,0,0.087955064
15,1,1,10.6454249,9.61580548,0,0.348017445
19,1,3,11.42954386,10.5963847,0,0.028455744
17,1,3,11.3052861,10.30895266,0,0.225755938
8,0,1,10.35296955,9.328123408,0,0.399740532
12,1,1,10.27849345,9.510444964,1,0.127324367
15,1,1,10.35296955,9.61580548,1,0.064089408
16,1,1,10.49127422,9.61580548,1,0.193641354
15,0,1,9.862665558,9.104979856,1,0.092741379
12,0,1,10.0668811,9.354440716,1,0.059329421
15,1,1,10.46595641,9.71111566,0,0.067727566
12,1,1,10.05406041,9.564512186,0,-0.162829591
8,1,1,10.28363485,9.564512186,0,0.101755749
12,1,2,10.33364527,9.510444964,0,0.15825409
15,0,1,10.0145816,9.453286551,0,-0.132317058
12,0,1,10.30895266,9.71111566,0,-0.084425633
12,1,2,10.33364527,9.553930076,0,0.112254497
15,1,1,10.45737267,9.71111566,0,0.059143822
16,1,3,11.00209984,10.07449535,0,0.179336965
12,1,1,10.47869544,9.61580548,0,0.207546157
15,1,1,10.71774556,9.61580548,0,0.420338107
18,1,3,11.20843627,10.17542127,0,0.261406093
12,1,1,10.12862911,9.510444964,0,-0.031067294
12,1,1,10.20359215,9.61580548,0,-0.067557133
15,1,1,10.1980211,9.510444964,0,0.012066526
15,1,1,10.43117029,9.664595644,0,0.082151437
15,0,1,10.18111929,9.510444964,0,-0.026242909
15,1,1,10.24174391,9.564512186,1,0.007123048
12,1,1,10.33851146,9.61580548,1,0.075889499
8,1,1,10.02127059,9.185022564,1,0.249352012
16,1,3,10.77895629,9.987369037,0,0.048357714
17,1,3,10.91508846,10.17542127,0,-0.023188992
16,1,3,10.88040291,9.952277717,0,0.18692477
8,1,1,9.994241916,9.585346273,0,-0.209675984
19,1,3,11.26606539,10.30895266,0,0.169029775
16,1,3,10.73639668,9.963641475,0,0.030897683
16,1,3,10.71995795,9.974877549,0,0.002573169
16,1,3,10.94288048,10.1266311,0,0.064967155
15,1,1,10.6237634,9.915910073,0,0.00889812
17,1,3,11.32055357,10.46253175,0,0.078563771
16,0,1,10.89673933,9.798127037,0,0.376307414
12,0,1,10.18111929,9.259130536,0,0.265861689
15,0,1,10.43117029,9.878169745,0,-0.165179987
15,0,1,10.09203966,9.354440716,0,0.049702493
15,0,1,10.28363485,9.354440716,0,0.241297687
12,0,1,10.22557105,9.341368634,0,0.223320021
12,0,1,10.04107322,9.259130536,0,0.125815615
16,0,1,10.45737267,9.585346273,0,0.162025345
16,0,1,10.83958091,9.798127037,0,0.319149
12,0,1,10.09823163,9.301094735,0,0.138583294
12,0,1,10.11658077,9.564512186,1,-0.113189544
12,0,1,10.04107322,9.328123408,1,0.061360616
8,0,1,10.12862911,9.301094735,1,0.212518983
15,1,1,10.16392689,9.746833742,0,-0.272085399
15,1,1,10.36249343,9.664595644,0,0.013474571
12,1,1,10.09203966,9.553930076,0,-0.113656334
19,1,3,11.19134184,10.26604516,0,0.139694811
19,1,3,11.13823202,10.22121375,0,0.134008729
8,0,1,9.692766521,9.185022564,0,-0.109086992
12,0,1,9.908475094,9.328123408,0,-0.079764819
8,0,1,10.08580911,9.301094735,0,0.161171673
12,0,1,10.16392689,9.301094735,0,0.204278553
12,0,1,10.11050172,9.215327913,0,0.241579585
12,0,1,10.25765937,9.259130536,0,0.342401766
8,1,2,10.33364527,9.61580548,1,0.090339424
17,1,1,10.60162227,9.878169745,1,0.017701482
8,1,2,10.30895266,9.61580548,1,0.065646812
12,0,1,10.00106788,9.301094735,1,0.049946859
18,1,3,11.26766411,10.22121375,0,0.272193547
16,1,3,11.01246263,10.02127059,0,0.246002179
14,1,1,10.5941316,9.664595644,0,0.253865471
19,1,3,11.48246626,10.46338901,0,0.222064171
15,1,1,10.22012145,9.664595644,0,-0.12889741
15,1,1,10.36249343,9.510444964,0,0.176538853
19,1,3,11.42135827,10.2918065,0,0.342460277
12,0,1,10.13459927,9.574983486,0,-0.114775144
12,0,1,9.952277717,9.354440716,0,-0.063801275
12,1,1,10.32384127,9.61580548,1,0.061219309
15,1,1,10.25238231,9.798127037,1,-0.22936194
12,1,2,10.33364527,9.104979856,1,0.595692109
12,1,2,10.33364527,9.61580548,1,0.055328526
16,1,3,10.91281315,10.22121375,0,-0.065151962
14,1,1,10.54006438,9.71111566,0,0.150588263
15,1,1,10.41780707,9.553930076,0,0.185852898
15,1,1,10.31890299,9.71111566,0,-0.079325852
12,0,1,10.35774282,9.838949031,0,-0.170860672
12,0,1,10.36249343,9.564512186,0,0.124195802
12,0,1,10.13459927,9.553930076,0,-0.092504344
16,0,3,10.54006438,9.664595644,0,0.12949561
15,0,1,9.838949031,9.259130536,0,-0.102566743
15,0,1,10.39053265,9.510444964,0,0.18317045
12,0,1,10.41331268,9.61580548,0,0.120755774
16,0,1,10.55971138,9.71111566,0,0.131322187
12,1,1,10.22012145,9.61580548,1,-0.042500517
15,1,2,10.09823163,9.61580548,1,-0.206343292
12,1,2,10.33364527,9.61580548,1,0.055328526
12,0,1,9.885832617,9.185022564,1,0.057495519
17,1,3,11.13823202,10.22230485,0,0.150359979
20,1,3,10.99162854,10.30895266,0,-0.114159795
15,1,1,10.35774282,9.664595644,0,0.008723968
12,1,1,10.21464198,9.755567422,0,-0.204350828
15,1,1,10.20359215,9.664595644,0,-0.145426712
16,0,3,10.6346528,10.12623102,0,-0.264244936
12,0,1,10.17542127,9.301094735,0,0.215772932
12,1,1,10.00784757,9.61580548,0,-0.26330171
21,1,3,11.08214255,10.53209621,0,-0.268445107
12,1,1,10.33851146,9.61580548,0,0.067362185
8,0,1,9.908475094,9.487972109,0,-0.213845706
12,0,1,10.0145816,9.510444964,0,-0.166522424
15,0,1,10.47869544,9.499271664,0,0.283152622
12,0,1,10.25765937,9.543234787,0,0.041869482
12,0,1,10.10438549,9.487972109,0,-0.052946204
8,0,1,9.720165495,9.185022564,0,-0.081688018
12,1,1,10.19241884,9.510444964,1,0.041249758
18,1,1,10.6908079,10.05406041,1,-0.087926976
15,1,1,10.07323033,9.510444964,1,-0.104196934
15,0,1,10.18678503,9.564512186,1,-0.06924346
12,1,1,10.22557105,9.61580548,0,-0.045578226
12,1,1,10.15812977,9.61580548,0,-0.113019507
16,1,3,10.65254237,10.17542127,0,-0.276982366
8,1,2,10.33364527,9.61580548,0,0.081812111
12,0,1,10.19241884,9.46498259,0,0.059406009
12,0,1,9.945109227,9.392661929,0,-0.11140108
15,1,1,10.47022081,9.61580548,1,0.18134067
15,1,1,10.19241884,9.61580548,1,-0.096461294
12,0,1,10.18678503,9.476543413,1,0.05007019
12,0,1,10.23099112,9.392661929,1,0.183008126
16,0,1,10.12862911,9.453286551,1,-0.018494963
16,1,3,11.09741002,10.76827444,0,-0.459249002
16,1,1,10.87142152,9.878169745,0,0.287726136
16,1,3,10.72821109,10.05406041,0,-0.072935218
15,1,1,10.33851146,9.61580548,0,0.041104011
15,0,1,10.28874995,9.71111566,0,-0.130886514
15,0,1,10.41331268,9.510444964,0,0.205950478
12,0,1,9.994241916,9.185022564,0,0.157377504
12,0,1,9.80642584,9.185022564,0,-0.030438572
16,0,3,10.75523976,9.755567422,0,0.248438865
12,1,1,10.14643373,9.574983486,1,-0.073005749
12,1,1,10.18678503,9.61580548,1,-0.075836938
12,1,1,10.19241884,9.510444964,1,0.041249758
15,0,1,10.30394012,9.61580548,1,-0.006347643
20,1,3,11.14547842,10.65678866,0,-0.328259162
8,1,2,10.37192746,9.61580548,0,0.120094297
8,1,1,10.17542127,9.655026193,0,-0.102205721
16,0,1,10.48290597,9.755567422,0,0.007494636
12,0,1,10.25765937,9.71111566,0,-0.135718927
12,0,1,9.746833742,9.230142999,0,-0.137760147
12,1,1,10.13459927,9.476543413,1,0.019292061
12,0,1,10.08580911,9.453286551,1,-0.026304061
12,0,1,10.22012145,9.230142999,1,0.344054871
12,0,1,9.822819649,9.230142999,1,-0.053246926
15,1,1,10.5789798,9.664595644,0,0.229960941
15,1,1,10.56746336,9.61580548,0,0.270055904
8,1,2,10.33364527,9.61580548,0,0.081812111
15,1,1,10.53209621,9.92329018,0,-0.090575922
16,1,3,10.98104643,9.987369037,0,0.250447857
12,0,1,10.4487146,9.838949031,0,-0.079888894
12,0,1,10.49127422,9.902487052,0,-0.10454132
8,0,1,10.27849345,9.71111566,0,-0.079873941
12,0,1,9.71111566,9.230142999,0,-0.173478229
12,1,1,9.885832617,9.453286551,1,-0.20487293
12,0,1,10.11658077,9.392661929,1,0.068597775
15,0,1,10.20913233,9.664595644,1,-0.152766841
12,0,1,10.18111929,9.453286551,1,0.069006118
16,0,1,10.0475879,9.392661929,1,-0.035405996
15,1,3,10.91326863,10.14643373,0,0.023160332
19,1,3,11.16867304,10.68051622,0,-0.321411403
16,1,3,10.8444709,10.22121375,0,-0.133494215
17,1,3,11.11988288,10.46253175,0,-0.122106925
12,1,1,10.28670705,9.878169745,0,-0.261977431
15,1,1,10.5865844,9.71111566,0,0.188355554
12,1,1,10.27849345,9.61580548,0,0.007344175
15,1,1,10.408798,9.71111566,0,0.010569152
16,1,3,11.10870958,10.86856845,0,-0.55404285
12,1,2,10.4267357,9.61580548,0,0.139891635
15,1,1,10.21464198,9.755567422,0,-0.230609002
12,0,1,10.08580911,9.328123408,0,0.097569196
8,0,1,9.893437217,9.230142999,0,0.043854226
15,1,1,10.32875529,9.71111566,1,-0.060946242
15,1,1,10.27332548,9.61580548,1,-0.015554655
15,1,1,10.55581274,9.71111566,1,0.166111208
8,1,2,10.33364527,9.61580548,1,0.090339424
12,0,1,9.92329018,9.301094735,1,-0.027830842
12,0,1,9.862665558,9.314700387,1,-0.102847849
15,1,1,10.3139402,9.664595644,0,-0.035078654
16,1,1,10.45218683,10.23099112,0,-0.504731456
15,1,1,11.28978191,9.664595644,0,0.940763057
12,1,1,10.14053401,9.61580548,0,-0.130615269
12,1,1,10.30394012,9.664595644,0,-0.018820564
12,0,1,10.08580911,9.532423871,0,-0.118544729
15,0,1,10.23099112,9.878169745,0,-0.365359161
8,0,1,10.0145816,9.230142999,0,0.164998609
12,0,1,9.692766521,9.230142999,0,-0.191827368
15,0,1,9.994241916,9.453286551,0,-0.152656743
16,0,1,10.05406041,9.664595644,0,-0.325118794
12,0,1,10.43117029,9.392661929,0,0.374659987
15,0,1,10.15229885,9.564512186,0,-0.112256949
12,0,1,9.755567422,9.230142999,0,-0.129026467
15,1,1,10.02127059,9.61580548,1,-0.26760955
16,1,3,10.60162227,9.952277717,0,-0.091855862
19,1,3,10.9241383,10.4267357,0,-0.297491029
15,1,1,10.18678503,9.61580548,0,-0.110622425
15,1,1,10.83071822,9.878169745,0,0.255775568
19,1,3,11.22524339,10.35774282,0,0.076596376
8,0,1,10.22012145,9.392661929,0,0.198622039
12,0,1,10.02791513,9.328123408,0,0.039675218
12,0,1,10.21464198,9.328123408,0,0.226402068
12,0,1,10.23099112,9.325898713,0,0.245104542
16,0,3,10.90365977,9.838949031,0,0.308655807
8,0,1,9.764225485,9.230142999,0,-0.085357505
12,0,1,10.61643736,9.798127037,0,0.131016348
12,0,1,10.0475879,9.301094735,0,0.087939561
8,0,1,10.02127059,9.301094735,0,0.096633151
12,0,1,10.19241884,9.354440716,0,0.176339852
12,0,1,10.12262308,9.328123408,0,0.13438317
12,0,1,9.885832617,9.301094735,0,-0.073815718
12,0,1,10.00106788,9.301094735,0,0.041419545
12,0,1,10.14643373,9.392661929,0,0.089923424
15,0,1,10.24707726,9.453286551,0,0.100178599
12,0,1,10.0475879,9.328123408,0,0.059347984
12,1,1,10.14643373,9.341368634,1,0.174117637
8,0,1,9.746833742,9.230142999,1,-0.094221935
18,1,3,11.12909953,10.38868763,0,-0.043528915
