educ	gender	jobcat	logsal	logssal	race
15	1	3	10.9508065468	10.203592145	0
16	1	1	10.6016222746	9.8389490314	0
12	0	1	9.97347992436	9.39266192877	0
8	0	1	9.9942419158	9.48797210857	0
15	1	1	10.7144177688	9.95227771671	0
15	1	1	10.3766113091	9.51044496443	0
15	1	1	10.4912742174	9.8389490314	0
12	0	1	9.9942419158	9.18502256399	0
15	0	1	10.2363819678	9.45328655059	0
12	0	1	10.0858091093	9.51044496443	0
16	0	1	10.3189029915	9.71111565989	0
8	1	1	10.2523823092	9.39266192877	1
15	1	1	10.2309911192	9.5645121857	1
15	0	1	10.4659564095	9.72913416539	1
12	1	1	10.2146419812	9.51044496443	0
12	1	1	10.6164373604	9.61580548008	0
15	1	1	10.7363966755	9.5645121857	0
16	1	3	11.5497394381	10.2223048539	0
12	1	1	10.652542365	9.5645121857	0
12	0	1	10.175421268	9.35444071595	0
16	0	1	10.5674633558	9.61580548008	0
12	1	1	9.98736903652	9.45328655059	1
15	0	1	10.0858091093	9.3147003873	1
12	0	1	9.73802311281	9.10497985632	1
15	0	1	9.9593951844700016	9.10497985632	1
15	1	1	10.3433540874	9.44145209294	0
19	1	3	11.008330391	10.2212137463	0
15	1	1	10.3905326476	9.5645121857	0
19	1	3	11.8130300574	11.2895318824	0
15	1	1	10.3481733738	9.5645121857	0
12	1	1	10.4954322276	9.5645121857	0
19	1	3	11.6139013823	10.7144177688	0
15	1	1	10.6454248973	9.61580548008	0
19	1	3	11.429543856	10.5963847018	0
17	1	3	11.3052861002	10.3089526606	0
8	0	1	10.3529695461	9.32812340763	0
12	1	1	10.2784934532	9.51044496443	1
15	1	1	10.3529695461	9.61580548008	1
16	1	1	10.4912742174	9.61580548008	1
15	0	1	9.86266555802	9.10497985632	1
12	0	1	10.0668810994	9.35444071595	1
15	1	1	10.4659564095	9.71111565989	0
12	1	1	10.054060411	9.5645121857	0
8	1	1	10.2836348527	9.5645121857	0
12	1	2	10.3336452732	9.51044496443	0
15	0	1	10.0145816	9.45328655059	0
12	0	1	10.3089526606	9.71111565989	0
12	1	2	10.3336452732	9.55393007637	0
15	1	1	10.4573726658	9.71111565989	0
16	1	3	11.0020998412	10.0744953494	0
12	1	1	10.4786954352	9.61580548008	0
15	1	1	10.7177455588	9.61580548008	0
18	1	3	11.2084362742	10.175421268	0
12	1	1	10.1286291065	9.51044496443	0
12	1	1	10.203592145	9.61580548008	0
15	1	1	10.1980210999	9.51044496443	0
15	1	1	10.4311702934	9.66459564425	0
15	0	1	10.1811192891	9.51044496443	0
15	1	1	10.241743911	9.5645121857	1
12	1	1	10.3385114629	9.61580548008	1
8	1	1	10.0212705882	9.18502256399	1
16	1	3	10.7789562899	9.98736903652	0
17	1	3	10.9150884642	10.175421268	0
16	1	3	10.8804029062	9.95227771671	0
8	1	1	9.9942419158	9.5853462726	0
19	1	3	11.266065387	10.3089526606	0
16	1	3	10.7363966755	9.96364147536	0
16	1	3	10.7199579491	9.97487754862	0
16	1	3	10.9428804815	10.1266311039	0
15	1	1	10.6237634005	9.91591007253	0
17	1	3	11.3205535723	10.4625317486	0
16	0	1	10.8967393255	9.79812703688	0
12	0	1	10.1811192891	9.25913053615	0
15	0	1	10.4311702934	9.87816974455	0
15	0	1	10.0920396591	9.35444071595	0
15	0	1	10.2836348527	9.35444071595	0
12	0	1	10.2255710517	9.34136863438	0
12	0	1	10.0410732155	9.25913053615	0
16	0	1	10.4573726658	9.5853462726	0
16	0	1	10.8395809117	9.79812703688	0
12	0	1	10.0982316293	9.30109473524	0
12	0	1	10.116580768	9.5645121857	1
12	0	1	10.0410732155	9.32812340763	1
8	0	1	10.1286291065	9.30109473524	1
15	1	1	10.1639268886	9.74683374249	0
15	1	1	10.3624934276	9.66459564425	0
12	1	1	10.0920396591	9.55393007637	0
19	1	3	11.1913418408	10.2660451596	0
19	1	3	11.1382320155	10.2212137463	0
8	0	1	9.69276652122	9.18502256399	0
12	0	1	9.9084750940500016	9.32812340763	0
8	0	1	10.0858091093	9.30109473524	0
12	0	1	10.1639268886	9.30109473524	0
12	0	1	10.1105017219	9.21532791349	0
12	0	1	10.2576593663	9.25913053615	0
8	1	2	10.3336452732	9.61580548008	1
17	1	1	10.6016222746	9.87816974455	1
8	1	2	10.3089526606	9.61580548008	1
12	0	1	10.0010678809	9.30109473524	1
18	1	3	11.2676641084	10.2212137463	0
16	1	3	11.0124626282	10.0212705882	0
14	1	1	10.5941316029	9.66459564425	0
19	1	3	11.4824662575	10.4633890139	0
15	1	1	10.2201214469	9.66459564425	0
15	1	1	10.3624934276	9.51044496443	0
19	1	3	11.4213582714	10.2918065018	0
12	0	1	10.1345992735	9.57498348556	0
12	0	1	9.95227771671	9.35444071595	0
12	1	1	10.3238412731	9.61580548008	1
15	1	1	10.2523823092	9.79812703688	1
12	1	2	10.3336452732	9.10497985632	1
12	1	2	10.3336452732	9.61580548008	1
16	1	3	10.9128131504	10.2212137463	0
14	1	1	10.5400643816	9.71111565989	0
15	1	1	10.4178070656	9.55393007637	0
15	1	1	10.3189029915	9.71111565989	0
12	0	1	10.3577428248	9.8389490314	0
12	0	1	10.3624934276	9.5645121857	0
12	0	1	10.1345992735	9.55393007637	0
16	0	3	10.5400643816	9.66459564425	0
15	0	1	9.8389490314	9.25913053615	0
15	0	1	10.3905326476	9.51044496443	0
12	0	1	10.413312676	9.61580548008	0
16	0	1	10.559711379	9.71111565989	0
12	1	1	10.2201214469	9.61580548008	1
15	1	2	10.0982316293	9.61580548008	1
12	1	2	10.3336452732	9.61580548008	1
12	0	1	9.8858326173	9.18502256399	1
17	1	3	11.1382320155	10.2223048539	0
20	1	3	10.9916285413	10.3089526606	0
15	1	1	10.3577428248	9.66459564425	0
12	1	1	10.2146419812	9.75556742246	0
15	1	1	10.203592145	9.66459564425	0
16	0	3	10.6346528003	10.1262310238	0
12	0	1	10.175421268	9.30109473524	0
12	1	1	10.0078475679	9.61580548008	0
21	1	3	11.0821425489	10.532096212	0
12	1	1	10.3385114629	9.61580548008	0
8	0	1	9.9084750940500016	9.48797210857	0
12	0	1	10.0145816	9.51044496443	0
15	0	1	10.4786954352	9.49927166383	0
12	0	1	10.2576593663	9.54323478725	0
12	0	1	10.1043854949	9.48797210857	0
8	0	1	9.72016549541	9.18502256399	0
12	1	1	10.1924188444	9.51044496443	1
18	1	1	10.6908079031	10.054060411	1
15	1	1	10.0732303271	9.51044496443	1
15	0	1	10.1867850267	9.5645121857	1
12	1	1	10.2255710517	9.61580548008	0
12	1	1	10.1581297709	9.61580548008	0
16	1	3	10.652542365	10.175421268	0
8	1	2	10.3336452732	9.61580548008	0
12	0	1	10.1924188444	9.4649825903499984	0
12	0	1	9.94510922723	9.39266192877	0
15	1	1	10.4702208082	9.61580548008	1
15	1	1	10.1924188444	9.61580548008	1
12	0	1	10.1867850267	9.47654341275	1
12	0	1	10.2309911192	9.39266192877	1
16	0	1	10.1286291065	9.45328655059	1
16	1	3	11.097410021	10.7682744415	0
16	1	1	10.8714215176	9.87816974455	0
16	1	3	10.7282110909	10.054060411	0
15	1	1	10.3385114629	9.61580548008	0
15	0	1	10.2887499533	9.71111565989	0
15	0	1	10.413312676	9.51044496443	0
12	0	1	9.9942419158	9.18502256399	0
12	0	1	9.80642583969	9.18502256399	0
16	0	3	10.7552397633	9.75556742246	0
12	1	1	10.1464337311	9.57498348556	1
