Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,086282,1970,null,null,null,null,null,null,13.1,13.4,14.6,18.8,21.7,24.4,null
IDCJAC0002,086282,1971,26.0,26.8,25.5,21.5,15.9,13.2,13.0,13.8,16.1,18.1,19.4,24.4,19.5
IDCJAC0002,086282,1972,25.0,26.8,23.3,20.3,17.6,13.9,13.4,14.9,19.0,19.8,20.9,26.5,20.1
IDCJAC0002,086282,1973,27.7,25.6,20.9,20.2,15.8,13.0,12.5,13.3,16.9,19.7,20.2,25.8,19.3
IDCJAC0002,086282,1974,28.2,25.9,26.3,18.5,16.6,13.5,12.9,13.4,14.9,17.6,19.6,23.8,19.3
IDCJAC0002,086282,1975,24.8,27.6,23.1,19.0,17.5,13.4,15.1,13.2,16.8,17.9,22.2,24.3,19.6
IDCJAC0002,086282,1976,25.7,27.5,24.5,20.4,16.5,13.5,13.5,13.9,15.8,16.3,20.5,25.3,19.5
IDCJAC0002,086282,1977,26.7,26.4,23.8,18.0,15.8,12.4,11.9,15.3,14.7,20.8,22.2,24.9,19.4
IDCJAC0002,086282,1978,24.9,25.3,22.8,19.0,17.4,12.8,12.2,13.0,16.0,19.3,21.3,22.1,18.8
IDCJAC0002,086282,1979,28.3,26.6,24.9,18.6,15.5,14.5,12.9,13.7,15.9,18.9,21.7,26.4,19.8
IDCJAC0002,086282,1980,24.4,25.5,23.6,21.8,17.5,12.9,12.7,15.3,18.4,20.0,22.9,26.7,20.1
IDCJAC0002,086282,1981,29.6,28.1,23.3,22.3,16.4,12.9,12.5,13.5,17.8,19.6,21.4,24.1,20.1
IDCJAC0002,086282,1982,28.2,26.9,25.1,21.1,16.7,12.8,12.5,17.4,16.6,19.5,26.2,24.0,20.6
IDCJAC0002,086282,1983,24.7,29.5,24.4,17.8,15.9,12.7,12.0,14.4,15.7,17.5,20.7,24.3,19.1
IDCJAC0002,086282,1984,24.0,26.5,22.4,19.6,17.4,13.9,12.1,14.6,14.6,19.3,22.5,23.5,19.2
IDCJAC0002,086282,1985,24.7,25.5,26.1,21.6,17.2,12.9,12.4,13.7,15.1,19.4,20.8,22.8,19.4
IDCJAC0002,086282,1986,22.9,26.0,25.7,19.4,15.7,12.7,12.2,14.2,15.4,17.3,20.8,22.7,18.8
IDCJAC0002,086282,1987,24.7,26.3,21.1,20.9,16.0,13.9,12.7,14.0,17.7,18.5,22.3,22.6,19.2
IDCJAC0002,086282,1988,28.2,25.0,25.3,21.7,17.6,14.3,13.8,14.4,17.4,20.4,21.5,24.2,20.3
IDCJAC0002,086282,1989,24.9,26.8,24.4,20.3,16.6,12.7,12.3,12.8,16.3,18.3,21.7,25.2,19.4
